id,date,temp
955,2013-11-19,12.7
955,2013-11-20,12.4
955,2013-11-21,12.4
955,2013-11-22,12.5
955,2013-11-23,12.5
955,2013-11-24,12.4
955,2013-11-25,12
955,2013-11-26,11.1
955,2013-11-27,11.1
955,2013-11-28,10.3
955,2013-11-29,10.3
955,2013-11-30,10.5
955,2013-12-01,10.5
955,2013-12-02,10.6
955,2013-12-03,10.7
955,2013-12-04,10.7
955,2013-12-05,10.6
955,2013-12-06,10.5
955,2013-12-07,10.4
955,2013-12-08,10.4
955,2013-12-09,10.3
955,2013-12-10,10
955,2013-12-11,9.5
955,2013-12-12,8.8
955,2013-12-13,8.6
955,2013-12-14,8.7
955,2013-12-15,8.5
955,2013-12-16,8.4
955,2013-12-17,8.3
955,2013-12-18,8.2
955,2013-12-19,8
955,2013-12-20,7.4
955,2013-12-21,7.3
955,2013-12-22,7.4
955,2013-12-23,7.3
955,2013-12-24,7.2
955,2013-12-25,7.2
955,2013-12-26,7.1
955,2013-12-27,6.6
955,2013-12-28,5.6
955,2013-12-29,5.9
955,2013-12-30,6
955,2013-12-31,6.1
955,2014-01-01,6.3
955,2014-01-02,6.3
955,2014-01-03,6.3
955,2014-01-04,6.1
955,2014-01-05,6
955,2014-01-06,6
955,2014-01-07,5.9
955,2014-01-08,5.8
955,2014-01-09,5.2
955,2014-01-10,5
955,2014-01-11,4.9
955,2014-01-12,4.9
955,2014-01-13,4.5
955,2014-01-14,4.3
955,2014-01-15,4.4
955,2014-01-16,4.5
955,2014-01-17,4.6
955,2014-01-18,4.6
955,2014-01-19,4.4
955,2014-01-20,4.4
955,2014-01-21,4.3
955,2014-01-22,4.2
955,2014-01-23,4.2
955,2014-01-24,4.3
955,2014-01-25,4.2
955,2014-01-26,4
955,2014-01-27,4
955,2014-01-28,4
955,2014-01-29,4
955,2014-01-30,4.1
955,2014-01-31,4.1
955,2014-02-01,4.2
955,2014-02-02,4.2
955,2014-02-03,4.1
955,2014-02-04,3.6
955,2014-02-05,3.5
955,2014-02-06,3.5
955,2014-02-07,3.5
955,2014-02-08,3.5
955,2014-02-09,3.3
955,2014-02-10,3.3
955,2014-02-11,2.9
955,2014-02-12,3.3
955,2014-02-13,3.3
955,2014-02-14,3.4
955,2014-02-15,3.6
955,2014-02-16,3.6
955,2014-02-17,3.6
955,2014-02-18,3.7
955,2014-02-19,3.7
955,2014-02-20,3.7
955,2014-02-21,3.7
955,2014-02-22,3.7
955,2014-02-23,3.8
955,2014-02-24,3.9
955,2014-02-25,3.9
955,2014-02-26,4
955,2014-02-27,4
955,2014-02-28,4.1
955,2014-03-01,4.2
955,2014-03-02,4.3
955,2014-03-03,4.3
955,2014-03-04,4.4
955,2014-03-05,4.4
955,2014-03-06,4.3
955,2014-03-07,4.3
955,2014-03-08,4.3
955,2014-03-09,4.4
955,2014-03-10,4.3
955,2014-03-11,4.4
955,2014-03-12,4.5
955,2014-03-13,4.5
955,2014-03-14,4.5
955,2014-03-15,4.6
955,2014-03-16,4.8
955,2014-03-17,4.9
955,2014-03-18,5.1
955,2014-03-19,5.2
955,2014-03-20,5.3
955,2014-03-21,5.4
955,2014-03-22,5.5
955,2014-03-23,5.7
955,2014-03-24,5.8
955,2014-03-25,6
955,2014-03-26,6.1
955,2014-03-27,6.3
